display_name,legal_name_en,short_name,party_nature_code,party_status_code,country_code,emirate_name,party_type_codes,authority_type_code,service_category_code,source_url,seed_status,data_gaps
"Abu Dhabi Executive Council","Abu Dhabi Executive Council","ADEC","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://ecouncil.ae","READY_TO_SEED",""
"Abu Dhabi Executive Office","Abu Dhabi Executive Office","ADEO","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://adeo.ae","READY_TO_SEED",""
"Department of Government Enablement","Department of Government Enablement","DGE","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://dge.gov.ae","READY_TO_SEED",""
"Department of Finance - Abu Dhabi","Department of Finance","DoF","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://dof.abudhabi.ae","READY_TO_SEED",""
"Statistics Centre - Abu Dhabi","Statistics Centre - Abu Dhabi","SCAD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://scad.gov.ae","READY_TO_SEED",""
"Abu Dhabi Accountability Authority","Abu Dhabi Accountability Authority","ADAA","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","REGULATORY_AUTHORITY","","https://adaa.gov.ae","READY_TO_SEED",""
"Abu Dhabi Department of Economic Development","Abu Dhabi Department of Economic Development","ADDED","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","GOVERNMENT_DEPARTMENT","LICENSING","https://added.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Industrial Development Bureau","Industrial Development Bureau","IDB","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","LICENSE_DEPARTMENT","INDUSTRIAL_LICENSING","https://idb.added.gov.ae","READY_TO_SEED",""
"Abu Dhabi Investment Office","Abu Dhabi Investment Office","ADIO","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","INVESTMENT_AUTHORITY","REGISTRATION","https://investinabudhabi.gov.ae","READY_TO_SEED",""
"Abu Dhabi Chamber of Commerce and Industry","Abu Dhabi Chamber of Commerce and Industry","ADCCI","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","GOVERNMENT_DEPARTMENT","CERTIFICATION","https://abudhabichamber.ae","READY_TO_SEED",""
"Department of Municipalities and Transport","Department of Municipalities and Transport","DMT","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","MUNICIPAL_SERVICES","https://dmt.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Abu Dhabi City Municipality","Abu Dhabi City Municipality","ADM","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","MUNICIPALITY","MUNICIPAL_SERVICES","https://dmt.gov.ae/adm","READY_TO_SEED",""
"Al Ain City Municipality","Al Ain City Municipality","AAM","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","MUNICIPALITY","MUNICIPAL_SERVICES","https://dmt.gov.ae/aam","READY_TO_SEED",""
"Al Dhafra Region Municipality","Al Dhafra Region Municipality","DRM","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","MUNICIPALITY","MUNICIPAL_SERVICES","https://dmt.gov.ae/drm","READY_TO_SEED",""
"Integrated Transport Centre","Integrated Transport Centre","ITC","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","TRANSPORT_AUTHORITY","TRANSPORT_PERMITS","https://itc.gov.ae","READY_TO_SEED",""
"Abu Dhabi Housing Authority","Abu Dhabi Housing Authority","ADHA","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","COMMUNITY_AUTHORITY","APPROVALS","https://adha.gov.ae","READY_TO_SEED",""
"Environment Agency Abu Dhabi","Environment Agency Abu Dhabi","EAD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","ENVIRONMENT_AUTHORITY","ENVIRONMENTAL_APPROVALS","https://ead.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Department of Energy - Abu Dhabi","Department of Energy","DoE","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","ENERGY_AUTHORITY","ENERGY_LICENSING","https://doe.gov.ae","READY_TO_SEED",""
"Abu Dhabi Agriculture and Food Safety Authority","Abu Dhabi Agriculture and Food Safety Authority","ADAFSA","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","FOOD_SAFETY_AUTHORITY","LICENSING","https://adafsa.gov.ae","READY_TO_SEED",""
"Tadweer Group","Tadweer Group","Tadweer","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","ENVIRONMENT_AUTHORITY","WASTE_MANAGEMENT","https://tadweer.ae","READY_TO_SEED",""
"Abu Dhabi Quality and Conformity Council","Abu Dhabi Quality and Conformity Council","QCC","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","QUALITY_CONFORMITY_AUTHORITY","CERTIFICATION","https://qcc.gov.ae","READY_TO_SEED",""
"Abu Dhabi Police","Abu Dhabi Police","ADP","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","POLICE_AUTHORITY","NOC","https://adpolice.gov.ae","READY_TO_SEED",""
"Abu Dhabi Civil Defence","Abu Dhabi Civil Defence","ADCD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","CIVIL_DEFENSE","CIVIL_DEFENSE_APPROVALS","https://adcda.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Abu Dhabi Customs","General Administration of Customs - Abu Dhabi","AD Customs","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","CUSTOMS_AUTHORITY","CUSTOMS","https://adcustoms.gov.ae","READY_TO_SEED",""
"Abu Dhabi Judicial Department","Abu Dhabi Judicial Department","ADJD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","JUDICIAL_AUTHORITY","","https://adjd.gov.ae","READY_TO_SEED",""
"Department of Health - Abu Dhabi","Department of Health","DoH","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","HEALTH_AUTHORITY","HEALTH_LICENSING","https://doh.gov.ae","READY_TO_SEED",""
"Abu Dhabi Public Health Centre","Abu Dhabi Public Health Centre","ADPHC","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","HEALTH_AUTHORITY","APPROVALS","https://adphc.gov.ae","READY_TO_SEED",""
"Department of Education and Knowledge","Department of Education and Knowledge","ADEK","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","EDUCATION_AUTHORITY","EDUCATION_LICENSING","https://adek.gov.ae","READY_TO_SEED",""
"Department of Community Development","Department of Community Development","DCD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","COMMUNITY_AUTHORITY","LICENSING","https://addcd.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Department of Culture and Tourism - Abu Dhabi","Department of Culture and Tourism","DCT","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","TOURISM_AUTHORITY","TOURISM_LICENSING","https://dctabudhabi.ae","READY_TO_SEED",""
"Abu Dhabi Global Market Registration Authority","Abu Dhabi Global Market Registration Authority","ADGM RA","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","FREE_ZONE_AUTHORITY|LICENSE_ISSUER","FREE_ZONE_AUTHORITY","FREE_ZONE_LICENSING","https://adgm.com","DUPLICATE_CHECK_REQUIRED",""
"Khalifa Economic Zones Abu Dhabi","Khalifa Economic Zones Abu Dhabi","KEZAD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","FREE_ZONE_AUTHORITY|LICENSE_ISSUER","FREE_ZONE_AUTHORITY","FREE_ZONE_LICENSING","https://kezadgroup.com","DUPLICATE_CHECK_REQUIRED",""
"Abu Dhabi Airports Free Zone","Abu Dhabi Airports Free Zone","ADAFZ","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","FREE_ZONE_AUTHORITY|LICENSE_ISSUER","FREE_ZONE_AUTHORITY","FREE_ZONE_LICENSING","https://adafz.ae","DUPLICATE_CHECK_REQUIRED",""
"Masdar City Free Zone","Masdar City Free Zone","Masdar FZ","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","FREE_ZONE_AUTHORITY|LICENSE_ISSUER","FREE_ZONE_AUTHORITY","FREE_ZONE_LICENSING","https://masdarcityfreezone.com","DUPLICATE_CHECK_REQUIRED",""
"twofour54","twofour54","twofour54","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","FREE_ZONE_AUTHORITY|LICENSE_ISSUER","FREE_ZONE_AUTHORITY","FREE_ZONE_LICENSING","https://twofour54.com","DUPLICATE_CHECK_REQUIRED",""
